week,Open,Low,High,Close,Volume
2014-01-07/2014-01-13,58.15,55.38,58.96,56.0,324133239
2014-01-14/2014-01-20,56.35,55.96,58.57,56.25,141255151
2014-01-21/2014-01-27,57.8786,51.85,59.31,52.86,279370121
2014-01-28/2014-02-03,53.77,52.75,63.95,62.49,447186604
2014-02-04/2014-02-10,62.89,60.45,64.9,63.91,238316161
2014-02-11/2014-02-17,64.8,63.35,67.8,67.15,184937925
2014-02-18/2014-02-24,67.26,64.18,71.44,70.63,376166919
2014-02-25/2014-03-03,70.88,66.5,71.22,67.27199999999999,263292940
2014-03-04/2014-03-10,68.33,67.41,72.15,72.1,253605470
2014-03-11/2014-03-17,72.2,66.62,72.75,68.75,255520479
2014-03-18/2014-03-24,69.2,63.36,69.6,64.04,260730556
2014-03-25/2014-03-31,64.88,57.98,66.19,60.3709,387041264
2014-04-01/2014-04-07,62.79,55.44,63.91,56.22,428883027
2014-04-08/2014-04-14,58.13,56.95,63.53,58.98,443770586
2014-04-15/2014-04-21,57.35,55.88,61.93,59.605,308040954
2014-04-22/2014-04-28,63.32,54.66,65.04,55.86,481610591
2014-04-29/2014-05-05,58.02,55.41,62.28,59.96,325101815
2014-05-06/2014-05-12,59.391999999999996,56.26,61.42,59.2901,288670140
2014-05-13/2014-05-19,60.1,57.31,60.89,59.1899,236477653
2014-05-20/2014-05-26,59.5,58.18,61.48,61.1201,199644643
2014-05-27/2014-06-02,62.75,61.57,64.3,62.8699,220398370
2014-06-03/2014-06-09,63.0,61.79,64.36,62.54,189390197
2014-06-10/2014-06-16,65.4,62.7,66.5,64.025,222248543
2014-06-17/2014-06-23,64.32,63.35,65.75,64.69,171586390
2014-06-24/2014-06-30,65.07,65.0,68.08,67.6599,215212266
2014-07-01/2014-07-07,68.2801,65.12,68.44,65.91,123598904
2014-07-08/2014-07-14,63.02,62.21,68.17,67.725,230488505
2014-07-15/2014-07-21,67.9,66.0,69.96,69.53,193903989
2014-07-22/2014-07-28,68.89,68.61,78.44,74.92,316821851
2014-07-29/2014-08-04,73.8399,70.91,75.23,73.79,188802547
2014-08-05/2014-08-11,72.505,71.79,74.0,73.51899999999999,150350882
2014-08-12/2014-08-18,72.78,72.22,74.72,74.12,134967472
2014-08-19/2014-08-25,75.515,73.57,75.99,75.1301,105960049
2014-08-26/2014-09-01,76.0,73.43,76.28,74.3,103137888
2014-09-02/2014-09-08,76.86,74.82,78.17,77.9201,143181052
2014-09-09/2014-09-15,77.06,73.43,78.36,74.464,159421473
2014-09-16/2014-09-22,76.03,73.07,78.3,76.23,190859040
2014-09-23/2014-09-29,78.29,76.04,79.199,79.02,160798357
2014-09-30/2014-10-06,79.25,75.64,79.7,77.2,169582141
2014-10-07/2014-10-13,77.2,72.08,78.04,74.007,178570681
2014-10-14/2014-10-20,73.82,70.32,77.34,77.15,262385184
2014-10-21/2014-10-27,78.0,76.95,81.0499,80.3599,163319677
2014-10-28/2014-11-03,73.32,71.65,82.0,74.4462,335159132
2014-11-04/2014-11-10,73.83,73.65,76.8,74.9701,131849639
2014-11-11/2014-11-17,74.19,73.5,75.655,74.02,113660702
2014-11-18/2014-11-24,74.27,72.51,74.8,74.19,105153227
2014-11-25/2014-12-01,74.44,73.92,78.27,75.59,106968771
2014-12-02/2014-12-08,75.53,74.4,77.25,76.525,92986632
2014-12-09/2014-12-15,76.33,74.78,78.88,78.1999,141053441
2014-12-16/2014-12-22,77.11,74.51,81.89,81.675,161443959
2014-12-23/2014-12-29,80.94,79.71,82.17,80.7,49627899
2014-12-30/2015-01-05,79.68,76.86,80.59,78.23,74666311
2015-01-06/2015-01-12,76.315,75.365,78.62,76.56,108375676
2015-01-13/2015-01-19,76.47,73.3,78.08,75.16,102010976
2015-01-20/2015-01-26,76.146,74.82,78.47,77.51,98186610
2015-01-27/2015-02-02,76.7492,72.0,79.35,76.26,198910113
2015-02-03/2015-02-09,75.34,73.45,76.35,73.89,94779597
2015-02-10/2015-02-16,74.54,74.5,77.25,75.62,68737900
2015-02-17/2015-02-23,75.65,75.07,80.34,78.9,148219299
2015-02-24/2015-03-02,78.83,78.1,81.37,79.7,122745966
2015-03-03/2015-03-09,79.07,78.52,81.99,79.4,112805190
2015-03-10/2015-03-16,77.905,77.26,79.38,78.0,90861176
2015-03-17/2015-03-23,79.02,77.86,84.96,83.6,165876094
2015-03-24/2015-03-30,85.34,81.54,86.0699,83.13,139045132
2015-03-31/2015-04-06,82.2,80.77,83.5,82.51,76631070
2015-04-07/2015-04-13,82.7,81.71,83.94,83.74,87507382
2015-04-14/2015-04-20,83.12,80.37,83.85,82.895,101331958
2015-04-21/2015-04-27,84.0601,81.0,85.59,82.15,193361967
2015-04-28/2015-05-04,80.71,77.75,81.92,79.07,107680100
2015-05-05/2015-05-11,77.3,77.05,79.26,78.425,101435427
2015-05-12/2015-05-18,77.82,76.79,81.98,80.97,134321916
2015-05-19/2015-05-25,80.875,79.46,81.69,80.99,71021282
2015-05-26/2015-06-01,80.3,78.66,81.0745,79.35,72073020
2015-06-02/2015-06-08,80.99,79.56,82.95,81.105,98926815
2015-06-09/2015-06-15,80.79,79.32,82.9,80.15,82059665
2015-06-16/2015-06-22,80.49,80.1,84.97,84.88,103220743
2015-06-23/2015-06-29,87.9201,84.3,89.43,85.94,175981380
2015-06-30/2015-07-06,85.82,85.57,88.1846,86.4,85683859
2015-07-07/2015-07-13,87.81,85.23100000000001,90.43,89.946,126965294
2015-07-14/2015-07-20,90.27,89.42,98.6,96.86,173163085
2015-07-21/2015-07-27,98.93,93.8301,99.3,94.03,157608173
2015-07-28/2015-08-03,95.11,90.6,97.49,94.05,244602896
2015-08-04/2015-08-10,94.47,93.33,98.74,94.45,130094682
2015-08-11/2015-08-17,93.29,91.19,95.01,93.9399,94663801
2015-08-18/2015-08-24,94.75,72.0,96.1,82.023,221639470
2015-08-25/2015-08-31,86.84,82.29,91.48,89.5,193415330
2015-09-01/2015-09-07,89.33,86.0,90.71,86.9797,111345514
2015-09-08/2015-09-14,89.43,88.83,92.62,92.29,118916896
2015-09-15/2015-09-21,92.94,91.79,96.49,95.78,137097428
2015-09-22/2015-09-28,92.72,88.18,95.85,89.49,148492716
2015-09-29/2015-10-05,88.2,85.72,94.27,93.91,161608665
2015-10-06/2015-10-12,92.65,90.47,94.6,93.2701,105127690
2015-10-13/2015-10-19,95.12,93.33,98.57,97.31,108184320
2015-10-20/2015-10-26,98.76,96.47,103.92,101.82,138839113
2015-10-27/2015-11-02,103.8,101.18,105.96,103.3,116745625
2015-11-03/2015-11-09,103.07,102.0,110.65,107.464,176131083
